Okres,Średnia cena benzyny Pb95 (PLN/l),Średnia cena Diesel ON (PLN/l)
2016 Q1,"4,02","3,8"
2016 Q2,"4,39","4,07"
2016 Q3,"4,4","4,18"
2016 Q4,"4,56","4,42"
2017 Q1,"4,72","4,6"
2017 Q2,"4,54","4,35"
2017 Q3,"4,47","4,26"
2017 Q4,"4,64","4,51"
2018 Q1,"4,66","4,56"
2018 Q2,"4,97","4,9"
2018 Q3,"5,09","5,01"
2018 Q4,"5,02","5,18"
2019 Q1,"4,77","5,03"
2019 Q2,"5,19","5,15"
2019 Q3,"5,08","5,02"
2019 Q4,"4,93","4,97"
2020 Q1,"4,79","4,97"
2020 Q2,"4,05","4,13"
2020 Q3,"4,41","4,34"
2020 Q4,"4,47","4,39"
2021 Q1,"4,9","4,88"
2021 Q2,"5,33","5,26"
2021 Q3,"5,73","5,49"
2021 Q4,"5,94","5,94"
2022 Q1,"5,93","6,19"
2022 Q2,"7,22","7,43"
2022 Q3,"6,88","7,42"
2022 Q4,"6,64","7,79"
2023 Q1,"6,66","7,38"
2023 Q2,"6,6","6,33"
2023 Q3,"6,46","6,29"
2023 Q4,"6,34","6,45"
2024 Q1,"6,41","6,6"
2024 Q2,"6,63","6,65"
2024 Q3,"6,33","6,34"
2024 Q4,"6,09","6,15"
2025 Q1,"6,17","6,29"
2025 Q2,"5,86","5,87"
2025 Q3,"5,86","5,95"
2025 Q4,"5,89","6,08"
2026 Q1,"6,07","6,58"
