Dane makro - średnia: 2025,1Q,2Q,3Q,4Q,,,,,,,
Cena ropy Brent,"75,7","67,9","69,1","63,7",,,,,,,
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"8,90","10,10","13,20","16,20",,,,,,,
USD / PLN,"3,99","3,76","3,64","3,64",,,,,,,
,,,,,,,,,,,
Dane makro - średnia: 2024,1Q,2Q,3Q,4Q,,,,,,,
Cena ropy Brent,"83,2","85,0","80,3","74,7",,,,,,,
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"15,90","11,60","6,60","8,50",,,,,,,
USD / PLN,"3,99","4,00","3,90","4,04",,,,,,,
,,,,,,,,,,,
Dane makro - średnia: 2023,1Q,2Q,3Q,4Q,,,,,,,
Cena ropy Brent,"81,2","78,1","86,7","84,3",,,,,,,
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"23,40","15,70","21,00","12,00",,,,,,,
USD / PLN,"4,39","4,17","4,14","4,11",,,,,,,
,,,,,,,,,,,
Dane makro - średnia: 2022,1Q,2Q,3Q,4Q,,,,,,,
Cena ropy Brent,"102,2","113,9","100,8","88,9",,,,,,,
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"13,80","38,80","23,80","28,40",,,,,,,
USD / PLN,"4,13","4,36","4,71","4,64",,,,,,,
,,,,,,,,,,,
Dane makro - średnia: 2021,1Q,2Q,3Q,4Q, , , , , , , 
Cena ropy Brent,"61,1","69,0","73,5","79,8", , , , , , , 
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"2,0","3,5","5,4","6,3", , , , , , , 
USD / PLN,"3,78","3,76","3,87","4,04", , , , , , , 
,,,,,,,,,,,
Dane makro - średnia:2020,1Q,2Q,3Q,4Q, , , , , , , 
Cena ropy Brent,"50,1","29,6","42,9","44,2", , , , , , , 
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"5,8","3,3","1,1","1,1", , , , , , , 
USD / PLN,"3,92","4,09","3,80","3,78", , , , , , , 
,,,,,,,,,,,
Dane makro - średnia:2019,1Q,2Q,3Q,4Q, , , , , , , 
Cena ropy Brent,"63,1","68,9","62,0","63,1", , , , , , , 
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"4,6","6,5","8,2","4,7", , , , , , , 
USD / PLN,"3,79","3,81","3,88","3,87", , , , , , , 
,,,,,,,,,,,
Dane makro - średnia:2018,1Q,2Q,3Q,4Q, , , , , , , 
Cena ropy Brent,"66,8","74,4","75,2","68,8", , , , , , , 
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"5,6","7,4","7,6","5,8", , , , , , , 
USD / PLN,"3,40","3,58","3,70","3,77", , , , , , , 
,,,,,,,,,,,
Dane makro - średnia:2017,1Q,2Q,3Q,4Q, , , , , , , 
Cena ropy Brent,"53,7","49,6","52,1","61,3", , , , , , , 
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"7,4","8,4","8,9","6,2", , , , , , , 
USD / PLN,"4,06","3,83","3,63","3,60", , , , , , , 
,,,,,,,,,,,
Dane makro - średnia:2016,1Q,2Q,3Q,4Q, , , , , , , 
Cena ropy Brent,"33,9","45,6","45,9","49,3", , , , , , , 
Modelowa marża rafineryjna + Dyferencjał Brent/URAL,"8,0","8,6","6,7","8,0", , , , , , , 
USD / PLN,"3,96","3,87","3,89","4,06", , , , , , , 
